team,nationality,position,potential,name 
Internacional ,Brazil,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Daguinho Parrela
Avaí ,Brazil,Defensa lateral (lateral derecha),Bueno,Edsinho Torres
Palmeiras ,Brazil,Defensa central,Bueno,João Barnierie
Cruzeiro ,Brazil,Defensa central|Mediocampista defensivo,Bueno,Marlinito Dias
Palmeiras ,Brazil,Defensa lateral (lateral derecha),Bueno,Antonaldo Vaz
Ceará Sporting Club ,Brazil,Mediocampista defensivo|Mediocampista central,Bueno,Breno Bemposta
Vasco da Gama ,Brazil,Mediocampista defensivo|Mediocampista central,Bueno,Charles de Breito
Vasco da Gama ,Brazil,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Vanderlei Cõembra
Santos ,Brazil,Defensa lateral,Bueno,Claytisco Branco
Vasco da Gama ,Brazil,Portero,Bueno,Adrizinho Bastos
Ceará Sporting Club ,Brazil,Portero,Bueno,Victor Fachinhas
Boavista FC ,Serbia,Delantero,Bueno,Nikola Stojiljkovic
Konyaspor ,Bosnia & Herzegovina,Delantero,Bueno,Riad Bajic
Clermont Foot 63 ,DR Congo,Defensa lateral (lateral derecha),Bueno,Vital Nsimba
UD Almería ,Spain,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Muy bueno,Fran Villalba
Hokkaido Consadole Sapporo ,Brazil,Delantero|Delantero central,Bueno,Anderson Lopes
Al Hilal ,Saudi Arabia,Defensa lateral (lateral derecha)|Defensa central,Bueno,Ali Al Bulayhi
Rangers FC ,Switzerland,Delantero,Bueno,Florian Kamberi
SC Paderborn 07 ,Germany,Portero,Bueno,Jannik Huth
Marítimo ,Brazil,Delantero,Bueno,Rodrigo Pinho
Shakhtar Donetsk ,Ukraine,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,Bueno,Mykola Matvienko
DSC Arminia Bielefeld ,Sweden,Portero,Bueno,Oscar Linnér
Santa Clara ,Brazil,Delantero,Bueno,Thiago Santana
La Spezia ,Italy,Mediocampista central,Bueno,Paolo Bartolomei
UD Las Palmas ,Uruguay,Defensa central|Mediocampista defensivo,Bueno,Mauricio Lemos
Swansea City ,Wales,Defensa central,Bueno,Joe Rodon
SC Heerenveen ,Netherlands,Mediocampista defensivo|Mediocampista central,Bueno,Hicham Faik
Abha Club ,Algeria,Defensa central,Bueno,Mehdi Tahrat
FC Midtjylland ,Belgium,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,Bueno,Dion Cools
Clermont Foot 63 ,France,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Jason Berthomier
Gimnasia y Esgrima La Plata ,Argentina,Defensa central,Bueno,Manuel Guanini
Club Tijuana ,Uruguay,Mediocampista defensivo|Mediocampista lateral|Mediocampista central,Bueno,Ignacio Rivero
Atlanta United ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Eric Remedi
Birmingham City ,England,Defensa central,Bueno,Marc Roberts
CD Leganés ,Spain,Defensa lateral|Defensa central,Muy bueno,Rodri Tarín
Leeds United ,Wales,Delantero|Mediocampista ofensivo,Muy bueno,Tyler Roberts
Lokomotiv Moscow ,Russia,Defensa lateral|Mediocampista lateral,Bueno,Dmitriy Zhivoglyadov
Atlético Huila ,Colombia,Portero,Bueno,Geovanni Banguera
Denizlispor ,Colombia,Delantero,Bueno,Óscar Estupiñán
MKE Ankaragücü ,Venezuela,Delantero,Bueno,Gelmin Rivas
Middlesbrough ,Cameroon,Defensa central,Muy bueno,Harold Moukoudi
Vitória Setúbal ,Argentina,Extremo (Extremo izquierdo),Bueno,Brian Mansilla
Blackburn Rovers ,Namibia,Defensa lateral|Defensa central,Bueno,Ryan Nyambe
PEC Zwolle ,Germany,Mediocampista defensivo|Mediocampista central,Bueno,Rico Strieder
SC Paderborn 07 ,Germany,Defensa lateral (lateral derecha)|Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Gerrit Holtmann
Reading ,England,Mediocampista defensivo|Mediocampista central,Muy bueno,Andy Rinomhota
Girona FC ,Spain,Defensa lateral (lateral derecha),Bueno,Brian Oliván
Cádiz CF ,Spain,Delantero|Mediocampista ofensivo|Delantero central,Bueno,Jorge Pombo
SV Darmstadt 98 ,Germany,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Marvin Mehlem
Ulsan Hyundai Horang-i ,Korea Republic,Defensa central,Bueno,Jeong Seung Hyun
Birmingham City ,Sweden,Delantero|Mediocampista central|Mediocampista ofensivo,Bueno,Kerim Mrabti
1. FC Union Berlin ,Nigeria,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Suleiman Abdullahi
SV Darmstadt 98 ,Germany,Delantero,Bueno,Felix Platte
Stade Rennais FC ,France,Delantero,Bueno,Jordan Siebatcheu
CD O'Higgins ,Argentina,Portero,Bueno,Augusto Batalla
Aberdeen ,England,Delantero,Bueno,Sam Cosgrove
U.N.A.M. ,Argentina,Mediocampista defensivo|Mediocampista lateral (Mediocampista derecho),Bueno,Víctor Malcorra
Unión de Santa Fe ,Argentina,Delantero,Bueno,Nicolás Mazzola
Willem II ,Netherlands,Defensa lateral,Bueno,Bart Nieuwkoop
Club Necaxa ,Argentina,Defensa central,Bueno,Rodrigo Noya
Wigan Athletic ,England,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Kieran Dowell
New York Red Bulls ,United States,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Bueno,Sean Davis
Rionegro Águilas ,Colombia,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Freddy Salazar
Nîmes Olympique ,France,Defensa lateral (lateral derecha)|Defensa central,Bueno,Florian Miguel
FC Emmen ,Peru,Defensa central,Bueno,Miguel Araujo
Dynamo Kyiv ,Denmark,Mediocampista central|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Mikkel Duelund
PSV ,France,Defensa lateral (lateral derecha)|Defensa central,Bueno,Olivier Boscagli
Reading ,Romania,Delantero,Bueno,George Pu?ca?
CD Mirandés ,Spain,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Merquelanz
AFC Bournemouth ,England,Delantero,Bueno,Dominic Solanke
Marítimo ,Cameroon,Delantero,Bueno,Joel Tagueu
Bristol City ,England,Mediocampista ofensivo,Bueno,Kasey Palmer
Lecce ,Italy,Mediocampista central,Bueno,Jacopo Petriccione
Club Atlas ,Chile,Delantero,Bueno,Ignacio Jeraldino
R. Zaragoza ,Spain,Mediocampista lateral|Mediocampista central,Bueno,Raúl Guti
Chamois Niortais Football Club ,France,Mediocampista lateral|Mediocampista ofensivo,Bueno,Valentin Jacob
Swansea City ,Wales,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Connor Roberts
Doncaster Rovers ,England,Mediocampista defensivo,Bueno,Ben Whiteman
RC Deportivo ,Italy,Defensa central,Bueno,Michele Somma
1. FC Heidenheim 1846 ,Germany,Defensa lateral,Bueno,Marnon Busch
Salerno ,Italy,Portero,Bueno,Alessandro Micai
Lechia Gdansk ,United States,Mediocampista lateral (Mediocampista derecho),Bueno,Kenneth Saief
Derby County ,Poland,Defensa central|Mediocampista defensivo,Muy bueno,Krystian Bielik
Cádiz CF ,France,Mediocampista defensivo|Mediocampista central,Bueno,Yann Bodiger
Havre Athletic Club ,Turkey,Defensa central,Bueno,Ertugrul Ersoy
SpVgg Greuther Fürth ,Germany,Defensa lateral (lateral derecha)|Defensa central|Extremo|Extremo (Extremo izquierdo),Bueno,Maximilian Wittek
Frosinone ,Italy,Mediocampista lateral|Mediocampista central,Bueno,Luca Paganini
LDU Quito ,Uruguay,Delantero|Extremo (Extremo derecho),Bueno,Rodrigo Aguirre
Club Bolívar ,Argentina,Delantero|Extremo (Extremo izquierdo),Bueno,Marcos Riquelme
Pachuca ,Mexico,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Erick Aguirre
Odense Boldklub ,Denmark,Defensa central,Bueno,Jeppe Tverskov
UD Almería ,Spain,Delantero,Bueno,Juan Muñoz
Brentford ,Spain,Lateral (lateral izquierdo)|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Sergi Canós
Vitesse ,England,Defensa lateral (lateral derecha),Bueno,Max Clark
SK Sturm Graz ,Greece,Defensa central,Bueno,Anastasios Avlonitis
West Bromwich Albion ,England,Defensa lateral|Defensa central,Bueno,Darnell Furlong
Sociedad Deportiva Aucas ,Uruguay,Portero,Bueno,Damián Frascarelli
SK Rapid Wien ,Austria,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Philipp Schobesberger
R. Zaragoza ,Spain,Mediocampista defensivo|Mediocampista central,Bueno,Eguaras
Willem II ,Germany,Portero,Bueno,Timon Wellenreuther
SV Sandhausen ,Kosovo,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),Bueno,Leart Paqarada
Clermont Foot 63 ,Uruguay,Mediocampista defensivo|Mediocampista ofensivo,Bueno,Jonathan Iglesias
Club Always Ready ,Brazil,Delantero|Extremo (Extremo izquierdo),Bueno,Rafael Silva
Yeni Malatyaspor ,Morocco,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Issam Chebake
Sivasspor ,Turkey,Mediocampista defensivo|Mediocampista central,Bueno,Hakan Arslan
KV Oostende ,France,Mediocampista defensivo|Mediocampista central,Bueno,Kévin Vandendriessche
Independiente del Valle ,Argentina,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo|Extremo (Extremo izquierdo),Bueno,Cristian Ortiz
FC Carl Zeiss Jena ,Turkey,Defensa central,Bueno,Aytaç Sulu
Kasimpasa SK ,Turkey,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Yusuf Erdogan
Racing Club ,Argentina,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Bueno,Nicolás Oroz
Atlético Tucumán ,Argentina,Defensa lateral,Bueno,Gustavo Toledo
Galatasaray SK ,Turkey,Defensa central,Bueno,Ahmet Çalik
Vissel Kobe ,Japan,Mediocampista defensivo|Mediocampista central,Bueno,Hotaru Yamaguchi
Empoli ,Italy,Delantero|Extremo (Extremo derecho),Bueno,Stefano Moreo
Dijon FCO ,Iceland,Portero,Bueno,Rúnar Alex Rúnarsson
Sampdoria ,Norway,Mediocampista central|Mediocampista ofensivo,Bueno,Morten Thorsby
Colón de Santa Fe ,Argentina,Mediocampista lateral (Mediocampista derecho),Bueno,Gabriel Esparza
Lechia Gdansk ,Serbia,Defensa lateral (lateral derecha),Bueno,Filip Mladenovic
Pohang Steelers ,Korea Republic,Portero,Bueno,Kang Hyeon Mu
SpVgg Greuther Fürth ,Germany,Defensa lateral|Mediocampista defensivo,Bueno,Paul Seguin
Free Agents ,Egypt,Defensa lateral (lateral derecha)|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Abdallah Gomaa
Beijing Sinobo Guoan FC ,China PR,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,Bueno,Zhang Xizhe
Esbjerg fB ,Poland,Mediocampista lateral (Mediocampista derecho),Bueno,Rafal Kurzawa
Henan Jianye FC ,Brazil,Delantero,Bueno,Fernando Karanga
Club León ,Colombia,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Yairo Moreno
CD Tenerife ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Nahuel Leiva
Jeju United FC ,Korea Republic,Mediocampista central,Bueno,Lee Chang Min
Hull City ,England,Defensa lateral|Defensa central,Bueno,Reece Burke
Cádiz CF ,Spain,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Nano Mesa
R. Sporting ,Serbia,Delantero,Bueno,Uroš Durdevic
Boavista FC ,Brazil,Lateral (lateral izquierdo)|Defensa central|Extremo (Extremo derecho),Bueno,Fabiano
Gallos Blancos de Querétaro ,Colombia,Defensa lateral (lateral derecha)|Defensa central,Bueno,Alexis Pérez
Asocia?ia Fotbal Club Astra Giurgiu ,France,Mediocampista lateral|Extremo (Extremo derecho),Bueno,Julien Bègue
OGC Nice ,France,Portero,Bueno,Yoan Cardinale
Argentinos Juniors ,Argentina,Defensa lateral (lateral derecha),Bueno,Elias Gómez
1. FC Nürnberg ,Denmark,Defensa central,Bueno,Asger Sørensen
Marítimo ,Argentina,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Jorge Correa
Benevento ,Italy,Delantero,Bueno,Gabriele Moncini
AS Saint-Étienne ,France,Mediocampista lateral,Bueno,Franck Honorat
UD Las Palmas ,Colombia,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Juan José Narváez
Kasimpasa SK ,Kosovo,Lateral (lateral izquierdo)|Defensa lateral|Defensa lateral (lateral derecha)|Extremo (Extremo derecho),Bueno,Florent Hadergjonaj
U Craiova 1948 Club Sportiv ,Romania,Defensa lateral|Defensa central,Bueno,Mihai Bala?a
Cádiz CF ,Spain,Defensa lateral|Mediocampista lateral,Bueno,Iza Carcelén
Free Agents ,South Africa,Defensa central,Bueno,Buhle Mkhwanazi
BSC Young Boys ,Switzerland,Defensa lateral,Bueno,Saidy Janko
Club Alianza Lima ,Uruguay,Delantero,Bueno,Adrián Balboa
FC København ,Uruguay,Defensa lateral,Bueno,Guillermo Varela
Free Agents ,Hungary,Mediocampista ofensivo,Bueno,Dávid Holman
Livorno ,Italy,Mediocampista lateral|Mediocampista central,Bueno,Luca Rizzo
Moreirense FC ,Portugal,Mediocampista central,Bueno,Alex Soares
Rayo Vallecano ,Spain,Defensa lateral (lateral derecha),Bueno,Saúl
Cádiz CF ,Argentina,Defensa central,Bueno,Marcos Mauro
UD Las Palmas ,Spain,Delantero,Bueno,Cristian López
Club Atlético Lanús ,Argentina,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,José Luis Gómez
Independiente Medellín ,Colombia,Defensa lateral|Defensa central,Bueno,Jesús Murillo
Newell's Old Boys ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Julián Fernández
Cracovia ,Poland,Defensa central,Bueno,Michal Helik
Estudiantes de La Plata ,Chile,Defensa central|Mediocampista defensivo|Mediocampista central,Bueno,Juan Fuentes
Shamrock Rovers ,Republic of Ireland,Mediocampista lateral|Mediocampista central,Bueno,Jack Byrne
New York Red Bulls ,England,Mediocampista lateral|Extremo (Extremo derecho),Bueno,Josh Sims
Olympiacos CFP ,Portugal,Mediocampista defensivo|Mediocampista central,Bueno,Cafú
Club River Plate Asunción ,Paraguay,Mediocampista defensivo|Mediocampista central,Bueno,Silvio Torales
Moreirense FC ,Brazil,Defensa lateral (lateral derecha),Bueno,Djavan
Royal Antwerp FC ,Senegal,Defensa central,Bueno,Abdoulaye Seck
Gimnasia y Esgrima La Plata ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Franco Mussis
Deportivo Cali ,Uruguay,Defensa central,Bueno,Hernán Menosse
Wigan Athletic ,Wales,Delantero,Bueno,Kieffer Moore
Club Atlético Banfield ,Paraguay,Delantero,Bueno,Pablo Velázquez
R. Oviedo ,Spain,Defensa lateral|Mediocampista lateral,Bueno,Marco Sangalli
Hammarby IF ,Denmark,Mediocampista defensivo|Mediocampista central,Bueno,Jeppe Andersen
Monterrey ,Mexico,Portero,Bueno,Luis Cárdenas
La Spezia ,Italy,Extremo (Extremo izquierdo),Bueno,Antonio Di Gaudio
Leicester City ,Poland,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Bartosz Kapustka
Al Hazem ,Sweden,Delantero,Bueno,Carlos Strandberg
FC Midtjylland ,Denmark,Defensa lateral (lateral derecha),Bueno,Marc Dal Hende
CD Tenerife ,Spain,Defensa central|Mediocampista defensivo,Bueno,Alberto
KV Mechelen ,Sweden,Delantero,Bueno,Gustav Engvall
Vitória Setúbal ,Brazil,Defensa central,Bueno,Bruno Pirri
Birmingham City ,Republic of Ireland,Delantero,Bueno,Scott Hogan
Benevento ,Italy,Portero,Bueno,Lorenzo Montipò
Club Atlético Banfield ,Argentina,Defensa central,Bueno,Luciano Lollo
1. FC Union Berlin ,Denmark,Delantero|Mediocampista ofensivo,Bueno,Marcus Ingvartsen
Club Atlético de San Luis ,Argentina,Portero,Bueno,Axel Werner
Defensa y Justicia ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Francisco Cerro
Club Atlético Huracán ,Argentina,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Juan Garro
Defensa y Justicia ,Uruguay,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Washington Camacho
Damac FC ,Argentina,Delantero,Bueno,Emilio Zelaya
Atlético Tucumán ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Nicolás Aguirre
Club Atlético Huracán ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Mauro Bogado
Independiente Medellín ,Colombia,Delantero,Bueno,Juan Caicedo
Club Atlético Central Córdoba ,Argentina,Portero,Bueno,Diego Rodríguez
Unión La Calera ,Chile,Mediocampista ofensivo,Bueno,Diego Rojas
Lechia Gdansk ,Poland,Defensa central,Bueno,Michal Nalepa
Derby County ,England,Delantero,Bueno,Jack Marriott
Coquimbo Unido ,Chile,Extremo (Extremo derecho),Bueno,Rubén Farfán
Al Fayha ,Chile,Delantero,Bueno,Ronnie Fernández
Fútbol Club Juárez ,Chile,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Ángelo Sagal
Puebla ,Mexico,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Ángel Zaldívar
Unión La Calera ,Chile,Defensa lateral|Defensa central,Bueno,Matías Navarrete
ESTAC Troyes ,France,Portero,Bueno,Gauthier Gallon
Djurgårdens IF ,Sweden,Mediocampista defensivo|Mediocampista central,Bueno,Jesper Karlström
Boca Juniors ,Colombia,Mediocampista defensivo|Mediocampista central,Bueno,Sebastián Pérez
Defensa y Justicia ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Matías Laba
Deportivo Binacional ,Colombia,Mediocampista defensivo|Mediocampista central,Bueno,Dahwling Leudo
Independiente Santa Fe ,Colombia,Defensa lateral|Mediocampista lateral,Bueno,Carlos Arboleda
América de Cali ,Colombia,Portero,Bueno,Eder Chaux
Universidad Católica ,Chile,Defensa central,Bueno,Valber Huerta
Deportivo Cali ,Colombia,Delantero,Bueno,Angelo Rodríguez
Atlético Nacional ,Colombia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Andrés Andrade
Unión La Calera ,Chile,Defensa central,Bueno,Christian Vilches
Deportes Tolima ,Colombia,Defensa central,Bueno,Julián Quiñones
Junior FC ,Colombia,Defensa central,Bueno,Germán Mera
Independiente Santa Fe ,Colombia,Defensa central,Bueno,Fáiner Torijano
Cúcuta Deportivo ,Colombia,Defensa central,Bueno,Diego Peralta
FC Bayern München II ,Ghana,Delantero,Bueno,Kwasi Okyere Wriedt
Odds BK ,Norway,Portero,Bueno,Sondre Rossbach
Middlesbrough ,England,Delantero|Extremo (Extremo izquierdo),Bueno,Ashley Fletcher
Middlesbrough ,Northern Ireland,Defensa central|Mediocampista defensivo|Mediocampista central,Bueno,Paddy McNair
Rangers FC ,Finland,Mediocampista central,Bueno,Glen Kamara
Kilmarnock ,Scotland,Defensa lateral,Bueno,Stephen O'Donnell
FC Lorient ,France,Mediocampista defensivo|Mediocampista central,Bueno,Laurent Abergel
Millonarios FC ,Colombia,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Bueno,Santiago Montoya
Sint-Truidense VV ,Ghana,Mediocampista defensivo|Mediocampista central,Bueno,Samuel Asamoah
Dijon FCO ,France,Mediocampista defensivo|Mediocampista central,Bueno,Jordan Marié
Al Ahli ,Saudi Arabia,Mediocampista lateral|Mediocampista ofensivo,Bueno,Abdulfatah Aseri
CS Emelec ,Ecuador,Mediocampista central|Mediocampista ofensivo,Bueno,José Cevallos
Unión Española ,Paraguay,Delantero,Bueno,Mauro Caballero
Houston Dynamo ,Argentina,Mediocampista central|Mediocampista ofensivo,Bueno,Tomás Martínez
KV Oostende ,France,Portero,Bueno,William Dutoit
New England Revolution ,United States,Defensa central,Bueno,Andrew Farrell
Ascoli ,Italy,Mediocampista central|Mediocampista ofensivo,Bueno,Michele Cavion
Bristol City ,Republic of Ireland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,Bueno,Callum O'Dowda
Chievo Verona ,Italy,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Bueno,Luca Garritano
Holstein Kiel ,Germany,Mediocampista defensivo|Mediocampista central,Bueno,Jonas Meffert
Toulouse Football Club ,Guinea,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),Bueno,Issiaga Sylla
